sekcja,placik,n,gen,frakcja_hi,zgodnosc,zgodnosc_perm,z
C57BL6J-638850.05,ANcr2,411,Ebf2,0.49878345498783455,0.6496350364963503,0.49854095701540957,11.110976180548542
C57BL6J-638850.05,COPY,149,Ebf2,0.4966442953020134,0.5302013422818792,0.4964697986577182,1.4317602414670698
C57BL6J-638850.05,FOTU,94,Ebf2,0.5,0.6578014184397163,0.49381914893617024,6.223791282110467
C57BL6J-638850.05,PRM,352,Ebf2,0.5,0.6089015151515151,0.4990123106060606,7.487273916130257
C57BL6J-638850.05,PYR,116,Ebf2,0.5,0.514367816091954,0.49694827586206897,0.714006306966146
C57BL6J-638850.05,UVU,351,Ebf2,0.4985754985754986,0.5565052231718899,0.49935897435897436,3.839515183679942
C57BL6J-638850.06,ANcr2,383,Ebf2,0.49869451697127937,0.6409921671018277,0.49901305483028724,9.854906921786085
C57BL6J-638850.06,COPY,101,Ebf2,0.49504950495049505,0.5742574257425742,0.49568646864686466,3.0544583537324193
C57BL6J-638850.06,DEC,58,Ebf2,0.4827586206896552,0.617816091954023,0.491051724137931,3.858309896922564
C57BL6J-638850.06,PRM,254,Ebf2,0.5,0.6351706036745407,0.49837139107611544,7.807396487505311
C57BL6J-638850.06,PYR,61,Ebf2,0.4918032786885246,0.6038251366120219,0.49487978142076505,3.22469560813686
C57BL6J-638850.06,UVU,372,Ebf2,0.5,0.5900537634408602,0.4989695340501793,6.647845997439488
C57BL6J-638850.08,ANcr1,124,Ebf2,0.5,0.5497311827956989,0.4954166666666666,2.125506282227562
C57BL6J-638850.08,ANcr2,271,Ebf2,0.4981549815498155,0.6322263222632226,0.49748585485854857,8.018371205911473
C57BL6J-638850.08,COPY,94,Ebf2,0.44680851063829785,0.6152482269503546,0.5019609929078014,4.091310122035379
C57BL6J-638850.08,DEC,214,Ebf2,0.5,0.5155763239875389,0.4976853582554518,0.9195959332561159
C57BL6J-638850.08,NOD,223,Ebf2,0.4977578475336323,0.523168908819133,0.4980134529147982,1.4078864745601711
C57BL6J-638850.08,PRM,136,Ebf2,0.47058823529411764,0.4852941176470588,0.496453431372549,-0.47332499739554657
C57BL6J-638850.09,ANcr1,242,Ebf2,0.35537190082644626,0.587465564738292,0.5401143250688705,2.943625031041375
C57BL6J-638850.09,ANcr2,338,Ebf2,0.5,0.5428994082840237,0.49742998027613405,2.995078633139737
C57BL6J-638850.09,COPY,110,Ebf2,0.4727272727272727,0.5696969696969697,0.4994878787878788,2.8414654920460602
C57BL6J-638850.09,"CUL4, 5",498,Ebf2,0.5,0.5,0.4994839357429719,0.041685904501844416
C57BL6J-638850.09,DEC,268,Ebf2,0.5,0.49502487562189057,0.4981181592039801,-0.19217883188562201
C57BL6J-638850.09,NOD,228,Ebf2,0.4780701754385965,0.5548245614035088,0.4999488304093567,3.042596743663507
C57BL6J-638850.09,PRM,111,Ebf2,0.3783783783783784,0.5540540540540541,0.525114114114114,1.165314729947771
C57BL6J-638850.09,SIM,155,Ebf2,0.4967741935483871,0.5053763440860215,0.495316129032258,0.4423923696881871
C57BL6J-638850.10,ANcr1,100,Ebf2,0.34,0.6733333333333333,0.5454100000000001,5.445141942414406
