lobule,n,Ebf1_mean,Ebf1_pct,Ebf2_mean,Ebf2_pct,Ebf3_mean,Ebf3_pct,Calb1_mean,Calb1_pct,Calb2_mean,Calb2_pct,Ppp1r17_mean,Ppp1r17_pct,Sorcs3_mean,Sorcs3_pct,Nxph1_mean,Nxph1_pct,Aqp4_mean,Aqp4_pct,Grm1_mean,Grm1_pct,Eomes_mean,Eomes_pct
SIM,2828,2.8689563,92.5035360678925,1.7575525,70.04950495049505,2.0180798,81.29420084865629,7.1922708,99.96463932107497,1.6679853,72.84299858557284,5.912492,100.0,0.6988761,43.24611032531825,0.29804388,18.316831683168317,3.1323388,94.87270155586988,5.417742,99.8939179632249,0.092858255,7.355021216407355
CUL,2722,2.471126,87.43570903747244,1.9750259,76.81851579720794,1.9375843,79.02277736958119,6.8734946,100.0,1.1155684,57.31080088170463,5.837573,100.0,0.8372741,47.90595150624541,0.3140684,20.35268185157972,3.041087,95.00367376928729,5.088923,99.7428361498898,0.11632743,9.037472446730344
AN1,1942,2.8708038,91.45211122554068,0.63870156,35.375901132852725,2.1316152,82.33779608650875,7.1237354,100.0,1.5233417,70.28836251287332,5.8494744,99.89701338825952,0.81761074,48.14624098867147,0.27805102,17.559217301750774,3.1017118,94.59320288362512,5.2416377,99.79402677651905,0.1282735,9.629248197734293
AN2,1595,2.8416052,92.10031347962384,1.5476204,63.63636363636363,2.207003,83.07210031347962,7.145402,99.93730407523512,1.7651407,72.35109717868339,5.9789515,100.0,0.80800474,45.893416927899686,0.23974401,15.109717868338556,3.1416276,94.79623824451411,5.345625,99.87460815047022,0.053877607,4.263322884012539
III,1410,2.5446072,90.99290780141844,2.1972008,83.75886524822695,1.9164307,82.4822695035461,7.324474,100.0,1.1388446,60.0,5.953603,100.0,0.6618806,42.695035460992905,0.464059,28.085106382978726,3.2373705,95.60283687943263,5.3946104,99.8581560283688,0.14444609,10.921985815602838
PF,1092,3.1456156,94.78021978021978,0.41685256,26.282051282051285,2.2009962,82.5091575091575,7.487081,100.0,1.5150782,70.32967032967034,5.971455,100.0,0.86067915,49.175824175824175,0.21847546,14.010989010989011,3.108427,93.31501831501832,5.332455,99.81684981684981,0.1970634,13.27838827838828
PRM,897,2.9058864,93.64548494983278,1.3817507,59.19732441471572,2.3599222,86.39910813823857,7.285793,100.0,1.6926256,73.0211817168339,6.095989,100.0,0.7754589,46.599777034559644,0.19096185,12.709030100334449,3.331971,96.43255295429208,5.420664,100.0,0.091164656,6.800445930880714
VI,850,2.6803246,91.88235294117646,1.3488953,59.411764705882355,2.0900671,83.17647058823529,6.7537775,100.0,1.106142,59.647058823529406,5.659846,100.0,0.6380272,42.470588235294116,0.25147367,17.764705882352942,2.7715838,94.58823529411765,5.0877724,99.88235294117646,0.09789326,7.764705882352942
II,839,2.376395,90.70321811680571,2.0998175,83.3134684147795,1.897502,80.21454112038141,7.0994334,100.0,0.7740649,47.31823599523242,5.7447195,100.0,0.48962748,35.280095351609056,0.76230145,45.05363528009535,3.4682112,97.97377830750894,5.4903507,99.880810488677,0.14159802,10.727056019070321
IX,749,2.7061408,92.5233644859813,1.1782302,58.2109479305741,2.4181364,87.85046728971963,7.4792457,100.0,1.1005025,57.14285714285714,6.047951,100.0,0.5355861,36.44859813084112,0.57244676,35.51401869158878,3.0790606,93.32443257676903,5.2927084,100.0,0.20089355,14.552736982643525
X,509,2.5857596,91.74852652259332,0.83653957,50.29469548133595,1.7438878,76.2278978388998,6.8609986,100.0,0.7956918,50.687622789783894,5.627028,100.0,0.3803733,28.487229862475445,0.32132173,23.37917485265226,2.7958825,96.07072691552064,4.892439,99.60707269155206,0.18125959,14.734774066797643
COP,472,2.5122087,87.5,1.236607,56.144067796610166,2.2723882,82.83898305084746,7.0338974,100.0,1.7748092,77.7542372881356,5.843943,100.0,0.5811693,36.016949152542374,0.2000868,13.983050847457626,3.0467234,94.27966101694916,5.2714076,99.78813559322035,0.13835797,10.59322033898305
F,335,3.1353092,95.82089552238806,0.49204278,31.94029850746269,2.6023345,87.46268656716418,7.4894824,100.0,1.2938992,63.582089552238806,6.117527,100.0,0.6806822,42.98507462686567,0.2691092,17.313432835820898,3.2708976,96.41791044776119,5.2286053,100.0,0.20056808,15.82089552238806
VIII,177,2.6238513,89.83050847457628,1.6609625,71.1864406779661,2.2689216,85.31073446327684,7.308653,100.0,1.4506735,74.01129943502825,6.043114,100.0,0.74308413,48.0225988700565,0.510176,31.63841807909605,2.9935427,96.61016949152543,5.3098593,100.0,0.14490901,11.864406779661017
VII,122,2.621739,91.80327868852459,1.4052875,59.83606557377049,2.0649302,78.68852459016394,7.24258,100.0,1.822001,79.50819672131148,5.850415,100.0,0.89654565,52.459016393442624,0.48335603,31.147540983606557,2.932168,95.90163934426229,5.2277246,100.0,0.07731641,5.737704918032787
I,18,2.7522879,94.44444444444444,0.39999926,27.77777777777778,1.3797389,72.22222222222221,6.0233254,100.0,0.9095474,44.44444444444444,5.35062,100.0,0.75779164,38.88888888888889,0.057973936,5.555555555555555,2.1915019,88.88888888888889,4.5988684,94.44444444444444,0.35169053,22.22222222222222
