subclass,n,Ebf1_mean,Ebf1_pct,Ebf2_mean,Ebf2_pct,Ebf3_mean,Ebf3_pct,Calb1_mean,Calb1_pct,Calb2_mean,Calb2_pct,Ppp1r17_mean,Ppp1r17_pct,Sorcs3_mean,Sorcs3_pct,Nxph1_mean,Nxph1_pct,Aqp4_mean,Aqp4_pct,Grm1_mean,Grm1_pct,Eomes_mean,Eomes_pct
314 CB Granule Glut,160552,0.4900489,31.724301160994568,0.07719394,5.961308485724252,0.09289483,6.9391848123972295,1.1056433,47.877946086003284,3.51496,93.84872190941252,0.6763291,34.96935572275649,0.09791192,7.803079376152275,0.07542274,5.40323384324082,2.5105321,85.53116747222084,1.5206608,73.89506203597588,0.45124564,29.767302805321638
311 CBX MLI Megf11 Gaba,67446,0.36287415,31.238323992527356,0.09637426,9.465350057824038,0.12007568,11.312753906829167,1.9831113,85.13625715387124,0.5091703,36.37576728049106,1.1903481,67.36648578121756,2.3157253,89.63022269667586,0.266741,19.758028645138335,1.1021781,62.10005041069893,2.5226727,95.93452539809626,0.05547627,5.138925955579278
316 Bergmann NN,26890,0.8191652,48.400892525102265,0.3219612,21.9895872071402,0.4117506,28.170323540349575,4.115603,95.1283004834511,1.1288396,55.329118631461505,2.9358723,88.68352547415395,0.30189404,22.235031610264038,0.22484867,14.871699516548903,4.567118,99.80290070658238,2.0239635,76.03570100409074,0.10157114,7.8430643361844545
327 Oligo NN,20208,0.15434834,13.326405384006335,0.04788478,4.6961599366587485,0.18154842,15.053444180522565,0.5844293,41.09263657957244,0.67567796,41.64192399049881,0.30139285,23.945961995249405,0.5764666,45.20486935866984,0.18411243,13.375890736342042,2.869675,95.3285827395091,0.28864312,22.852335708630246,0.03348922,2.929532858273951
333 Endo NN,19095,1.2793484,75.34433097669547,0.07437086,7.0699135899450125,0.13620701,12.191673212882954,1.1944877,63.40926944226237,0.48109412,32.385441214977746,0.7006639,46.048703849175176,0.15328124,14.401675831369468,0.1043058,9.337522911757004,1.4566935,64.12149777428647,0.43240842,33.20240900759361,0.022551475,1.9743388321550144
313 CBX Purkinje Gaba,16626,2.7326007,91.34488151088657,1.4657434,61.87297004691447,2.0856333,82.03416335859497,7.138886,99.98797064838205,1.3799983,65.22314447251293,5.8931346,99.98797064838205,0.72443634,44.051485624924815,0.3309126,20.919042463611213,3.11492,95.06195116083244,5.2800603,99.84361842896668,0.123117074,9.346806207145434
312 CBX MLI Cdh22 Gaba,15591,0.27632532,26.38701815149766,0.084593296,8.998781348213713,0.080807306,8.56263228785838,1.5315186,81.1044833557822,0.28527126,27.10538130972997,0.84398395,60.18215637226605,0.26399758,24.033096016932845,3.286753,98.98018087358092,0.7166786,52.3827849400295,2.6612785,97.29331024308895,0.022307416,2.392405875184401
318 Astro-NT NN,13298,0.20568009,17.431192660550458,0.061182417,6.121221236276131,0.24383453,20.243645661001654,0.5147465,39.351782222890655,0.590403,39.83305760264702,0.25399655,23.138817867348475,0.15265825,14.227703414047225,0.18103239,15.13009475109039,5.59694,99.98496014438261,0.25947276,22.266506241540082,0.029669488,2.692134155512107
330 VLMC NN,9285,0.91827536,55.05654281098546,0.3270961,25.805061927840605,0.15402597,12.633279483037157,0.8568381,54.862681744749594,0.34739256,25.83737210554658,0.396444,30.716208939149166,0.14451824,12.105546580506193,0.06435126,5.718901453957996,1.2204416,53.59181475498115,0.25119993,20.247711362412492,0.021894593,2.089391491653204
309 CB PLI Gly-Gaba,3559,0.5643019,36.52711435796572,0.26730278,19.022197246417534,0.5377345,29.109300365271146,3.0942516,83.81567856139365,1.5511624,66.56364147232368,2.1917872,74.76819331272829,0.24106981,19.331272829446476,3.8417046,99.49423995504355,2.6179292,91.48637257656645,2.6388042,93.6779994380444,0.076345995,5.788142736723799
331 Peri NN,3330,1.9272906,92.22222222222223,0.077650994,7.177177177177177,0.2918234,25.225225225225223,1.2492242,65.28528528528528,0.5052815,33.75375375375375,0.74894285,48.1981981981982,0.14154528,13.423423423423422,0.107894465,9.72972972972973,1.4739639,66.06606606606607,0.45273876,34.98498498498498,0.033009425,2.8228228228228227
325 CHOR NN,2911,0.38958773,26.966678117485397,0.1312899,10.889728615596015,0.18306962,14.668498797664034,0.5465684,38.40604603229131,0.21578726,16.660941257299896,0.15443541,12.779113706630024,0.0692943,6.3552043971143934,0.030839177,2.713844039848849,0.6639722,43.21538990037788,0.13804846,11.40501545860529,0.017711401,1.6489178976296803
317 Astro-CB NN,2724,0.28776383,19.08957415565345,0.07026594,5.139500734214391,0.10122463,7.415565345080763,1.0051275,42.36417033773862,1.7327983,67.2173274596182,0.65677065,32.67254038179148,0.12968966,9.581497797356828,0.10517032,7.195301027900147,6.2241564,100.0,0.6056347,34.32452276064611,0.13239843,9.72834067547724
332 SMC NN,2680,2.3036194,93.3955223880597,0.3263699,24.402985074626866,0.56161046,41.38059701492537,0.79187185,49.66417910447761,0.27933282,20.932835820895523,0.41833857,30.708955223880597,0.08533098,7.462686567164178,0.052716583,4.813432835820895,0.8231475,44.40298507462687,0.17466016,14.55223880597015,0.014459895,1.4552238805970148
181 IC Tfap2d Maf Glut,2308,0.2550033,21.53379549393414,0.40231287,29.636048526863085,1.6984336,74.6100519930676,1.2795519,77.16637781629116,2.302769,86.87175043327557,0.51226234,44.194107452339686,1.7852451,78.33622183708839,0.54865885,40.294627383015595,2.445889,96.2738301559792,1.0476929,61.915077989601386,0.037797514,4.202772963604852
326 OPC NN,2106,0.4402193,38.034188034188034,0.07249995,7.31244064577398,0.17804632,14.957264957264957,1.2580724,66.00189933523268,0.6781933,47.10351377018044,0.6335326,43.87464387464387,1.3067743,80.91168091168092,2.4469986,97.05603038936373,1.621576,71.65242165242165,0.4950663,38.509021842355175,0.028892606,2.7540360873694207
329 ABC NN,1885,0.43926784,31.19363395225464,0.11459396,9.60212201591512,0.06743862,6.10079575596817,0.8222786,51.724137931034484,0.38300762,27.798408488063657,0.36560848,28.381962864721483,0.15626033,12.73209549071618,0.051894344,4.509283819628647,0.7180344,43.87267904509284,0.22955115,18.19628647214854,0.014573333,1.5384615384615385
323 Ependymal NN,1472,0.16072617,11.956521739130435,0.15044293,10.733695652173914,0.075248115,6.046195652173913,1.1249033,58.152173913043484,0.4040144,25.543478260869566,0.22370769,17.1875,0.09479537,7.404891304347825,0.060125537,4.823369565217392,5.2499123,100.0,0.18852255,14.334239130434783,0.05096177,3.940217391304348
334 Microglia NN,1424,0.22597182,20.71629213483146,0.038431354,3.721910112359551,0.67543405,54.21348314606742,0.9468218,58.28651685393258,0.40600765,30.407303370786515,0.51429904,39.747191011235955,0.15402292,15.519662921348315,0.12495733,11.235955056179774,1.6204635,69.52247191011236,0.34910625,30.407303370786515,0.018444734,1.6151685393258428
310 CBX Golgi Gly-Gaba,1290,0.4205241,24.88372093023256,0.17516127,11.937984496124031,0.5568277,27.751937984496124,1.8890274,60.3875968992248,2.3615317,79.68992248062015,1.2670709,49.06976744186046,1.167597,53.7984496124031,0.6923374,32.093023255813954,2.5389924,85.5813953488372,2.7598512,91.86046511627907,0.19011031,12.170542635658915
254 VCO Mafa Meis2 Glut,1113,2.8675458,96.04672057502246,0.910583,61.36567834681043,2.8122668,96.7654986522911,1.4999897,74.03414195867026,0.792607,56.334231805929925,0.49328804,39.892183288409704,1.0744925,47.61904761904761,0.6578886,49.32614555256065,3.0227804,98.47259658580413,2.655642,93.71069182389937,0.116121426,12.848158131176998
319 Astro-TE NN,1106,0.22458974,18.806509945750452,0.053126626,5.424954792043399,0.19134502,15.099457504520796,0.92020273,53.0741410488246,0.7480977,45.750452079566,0.47519374,34.177215189873415,0.17129526,16.455696202531644,0.20623514,14.10488245931284,3.9465315,99.45750452079565,0.38545915,30.10849909584087,0.042327456,3.1645569620253164
250 CBN Neurod2 Pvalb Glut,794,0.3605059,37.531486146095716,0.76460576,59.44584382871536,2.6198368,98.11083123425692,0.46726662,46.095717884130984,1.07028,54.78589420654912,0.36991793,40.17632241813602,0.46073663,33.50125944584383,1.5301136,76.44836272040301,1.8892223,95.71788413098237,2.722566,98.48866498740554,0.11429461,14.609571788413097
