names,scores,logfoldchanges,pvals,pvals_adj,pct_nz_group,pct_nz_reference,subcluster
Gpr176,39.878857,7.6335826,0.0,0.0,0.9500805152979066,0.07713464183022878,Purkinje_Aldoc_1
Rora,39.76378,1.2095975,0.0,0.0,1.0,0.9991248906113264,Purkinje_Aldoc_1
Lrp1b,39.227753,1.3198682,0.0,0.0,1.0,0.9984373046630829,Purkinje_Aldoc_1
Auts2,37.663143,0.72671586,1.9936731446854e-310,6.358393279300271e-307,1.0,0.99981247655957,Purkinje_Aldoc_1
Gria1,37.594185,1.4534882,2.67529823412129e-309,7.465754134594722e-306,1.0,0.9904363045380673,Purkinje_Aldoc_1
Col4a6,37.185253,4.369965,1.181508855824365e-302,2.3979259278435406e-299,0.9355877616747182,0.2024003000375047,Purkinje_Aldoc_1
Tenm2,36.35105,1.9439418,2.5291009115687604e-289,4.705181487564381e-286,1.0,0.9761220152519064,Purkinje_Aldoc_1
Epha5,35.737167,1.9518964,1.046988495425548e-279,1.5582678773583574e-276,0.998389694041868,0.9260532566570822,Purkinje_Aldoc_1
Abr,35.634495,1.2574492,4.0964354440618055e-278,5.7158075805424874e-275,1.0,0.9944993124140518,Purkinje_Aldoc_1
Sorcs2,35.467003,3.04225,1.5864732503015273e-275,2.0834126654695056e-272,0.9742351046698873,0.43411676459557447,Purkinje_Aldoc_1
Tmem132c,34.636265,2.5765169,7.191776223546799e-263,8.027820209534113e-260,0.9677938808373591,0.5818852356544568,Purkinje_Aldoc_1
Fstl4,34.554943,1.7273396,1.2013451043790519e-261,1.2190922479664698e-258,0.9919484702093397,0.9708088511063883,Purkinje_Aldoc_1
Slc1a6,34.06472,1.3308444,2.457419627591909e-254,1.9593533280710488e-251,0.998389694041868,0.9845605700712589,Purkinje_Aldoc_1
Cux2,33.836052,2.103941,5.820692141411867e-251,4.331565068567331e-248,0.9887278582930756,0.6760845105638205,Purkinje_Aldoc_1
Plcxd2,33.73318,3.8239944,1.8865854197160755e-249,1.3586457901664964e-246,0.8743961352657005,0.1758969871233904,Purkinje_Aldoc_1
B3galt5,33.541557,3.7024684,1.195410939755567e-246,8.08713613031607e-244,0.8679549114331723,0.19014876859607452,Purkinje_Aldoc_1
Unc5d,33.352592,1.5639559,6.680404624109509e-244,4.38647156568367e-241,1.0,0.956807100887611,Purkinje_Aldoc_1
