gen,lokalizacja,w_jadrze,otoczka,tylko_jadro,tez_poza,dopasowanie,uniprot_gen,n_komorek_wykryty,pct_komorek,srednia_cp10k_all,mean_Aldoc_plus,mean_Aldoc_minus,log2FC_plus_vs_minus,marker_dla,marker_logFC,marker_padj,marker_score,mean_Aldoc_1,mean_Aldoc_2,mean_Aldoc_3,mean_Aldoc_4,mean_Aldoc_5,mean_Aldoc_6,mean_Aldoc_7,mean_Anti_Aldoc_1,mean_Anti_Aldoc_2,pct_Aldoc_1,pct_Aldoc_2,pct_Aldoc_3,pct_Aldoc_4,pct_Aldoc_5,pct_Aldoc_6,pct_Aldoc_7,pct_Anti_Aldoc_1,pct_Anti_Aldoc_2,loc_txt
Xkr4,reszta,False,False,False,True,nazwa,Xkr4,16195,97.36,3.216,3.842,2.74,0.486,Aldoc_1,1.081,3.8759106789655626e-165,27.59,6.322,2.692,3.079,3.585,3.139,3.634,4.444,2.866,2.613,99.2,94.67,98.29,98.22,96.78,97.77,98.9,95.51,96.83,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25231987}; Multi-pass membrane protein {ECO:0000255}.
Gm1992,nieznane,False,False,False,False,brak,,10159,61.07,0.506,0.615,0.432,0.5,Aldoc_1,1.154,6.499350403642272e-64,17.14,1.058,0.452,0.5,0.52,0.518,0.561,0.699,0.482,0.381,80.71,70.67,64.44,65.26,60.1,66.73,64.52,53.5,54.93,
Gm37381,nieznane,False,False,False,False,brak,,239,1.44,0.005,0.005,0.005,0.0,,,,,0.011,0.0,0.004,0.005,0.007,0.003,0.002,0.004,0.006,2.41,0.0,1.43,1.22,1.79,0.96,0.74,0.97,1.74,
Rp1,reszta,False,False,False,True,nazwa,Rp1,1519,9.13,0.036,0.034,0.035,-0.032,,,,,0.049,0.019,0.036,0.039,0.034,0.035,0.026,0.032,0.038,10.13,6.67,9.56,10.27,8.22,9.43,5.7,6.76,10.18,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme. Cell projection, cilium, photoreceptor outer segment. Note=Specifically localized in the connecting cilia of rod and cone photoreceptors."
Sox17,jadro,True,False,True,False,nazwa,Sox17,21,0.13,0.001,0.003,0.0,0.379,,,,,0.001,0.0,0.001,0.0,0.001,0.0,0.015,0.0,0.001,0.32,0.0,0.17,0.0,0.13,0.13,0.18,0.05,0.15,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00267, ECO:0000269|PubMed:20802155, ECO:0000269|PubMed:24153254, ECO:0000269|PubMed:8636240}."
Mrpl15,reszta,False,False,False,True,nazwa,Mrpl15,5511,33.13,0.168,0.162,0.178,-0.128,,,,,0.13,0.16,0.157,0.167,0.165,0.171,0.181,0.173,0.182,23.47,41.33,32.79,34.07,31.46,37.03,30.33,28.39,36.48,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9P015}.
Lypla1,otoczka,True,True,False,True,nazwa,Lypla1,259,1.56,0.005,0.005,0.005,0.0,,,,,0.003,0.006,0.007,0.005,0.004,0.005,0.007,0.004,0.006,0.8,2.67,1.85,1.5,1.34,1.59,1.29,1.06,1.81,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75608}. Cell membrane {ECO:0000250|UniProtKB:O75608}. Nucleus membrane {ECO:0000250|UniProtKB:O75608}. Endoplasmic reticulum {ECO:0000250|UniProtKB:O75608}. Note=Shows predominantly a cytoplasmic localization with a weak expression in the cell membrane, nuclear membrane and endoplasmic reticulum. {ECO:0000250|UniProtKB:O75608}."
Gm37988,nieznane,False,False,False,False,brak,,1588,9.55,0.039,0.04,0.036,0.12,,,,,0.045,0.038,0.035,0.044,0.044,0.041,0.036,0.031,0.042,8.36,12.0,9.11,11.15,10.37,10.01,6.43,6.08,10.88,
Tcea1,jadro,True,False,True,False,nazwa,Tcea1,9434,56.72,0.369,0.353,0.382,-0.111,,,,,0.316,0.346,0.349,0.357,0.381,0.393,0.331,0.385,0.379,46.3,60.0,58.88,58.32,56.39,59.91,45.96,49.69,59.55,SUBCELLULAR LOCATION: Nucleus.
Rgs20,jadro,True,False,False,True,nazwa,Rgs20,2869,17.25,0.079,0.091,0.076,0.232,,,,,0.08,0.133,0.081,0.072,0.079,0.084,0.111,0.08,0.072,15.11,26.67,18.45,16.81,17.02,19.25,16.73,14.53,17.34,SUBCELLULAR LOCATION: Membrane; Lipid-anchor. Nucleus. Cytoplasm. Note=Shuttles between the cytoplasm/cell membrane and the nucleus Anchored to the membrane through palmitoylation. {ECO:0000250}.
