atlas,n_kom,Aldoc+_frac,Aldoc_1,Aldoc_2,Aldoc_3,Aldoc_4,Aldoc_5,Aldoc_6,Aldoc_7,Anti_Aldoc_1,Anti_Aldoc_2
ANcr1,2553,0.829,0.0050920485703094395,0.0007833920877399138,0.06188797493145319,0.21504112808460635,0.01410105757931845,0.49588719153936545,0.036427732079905996,0.005483744614179397,0.16529573051312182
ANcr2,1694,0.618,0.0011806375442739079,0.0,0.5106257378984652,0.08736717827626919,0.0059031877213695395,0.012987012987012988,0.0,0.0,0.3819362455726092
CENT2,619,0.071,0.0,0.0,0.0,0.0,0.06785137318255251,0.0,0.0032310177705977385,0.8416801292407108,0.08723747980613894
CENT3,707,0.123,0.0,0.0,0.0,0.0014144271570014145,0.12164073550212164,0.0,0.0,0.8316831683168316,0.04526166902404526
COPY,206,0.451,0.0,0.0,0.13592233009708737,0.04854368932038835,0.25728155339805825,0.0048543689320388345,0.0048543689320388345,0.009708737864077669,0.5388349514563107
"CUL4, 5",592,0.257,0.0,0.0,0.0,0.030405405405405407,0.19425675675675674,0.013513513513513514,0.018581081081081082,0.2702702702702703,0.47297297297297297
DEC,2285,0.579,0.10634573304157549,0.000437636761487965,0.00525164113785558,0.24814004376367615,0.16455142231947484,0.01575492341356674,0.038074398249452954,0.05820568927789934,0.36323851203501095
FL,484,1.0,0.15289256198347106,0.08884297520661157,0.6880165289256198,0.03305785123966942,0.006198347107438017,0.030991735537190084,0.0,0.0,0.0
FOTU,617,0.872,0.08589951377633712,0.0,0.07941653160453808,0.47487844408427876,0.23176661264181522,0.0,0.0,0.011345218800648298,0.1166936790923825
LING,464,0.095,0.0021551724137931034,0.0,0.0,0.0,0.07327586206896551,0.0,0.01939655172413793,0.8771551724137931,0.028017241379310345
NOD,460,0.891,0.0,0.0,0.002173913043478261,0.0,0.26304347826086955,0.0,0.6260869565217392,0.1,0.008695652173913044
PFL,1898,0.996,0.12065331928345627,0.015279241306638568,0.8335089567966281,0.005268703898840885,0.004214963119072708,0.01422550052687039,0.0026343519494204425,0.0,0.004214963119072708
PRM,1087,0.589,0.0036798528058877645,0.0,0.48574057037718493,0.08463661453541858,0.004599816007359705,0.010119595216191352,0.0,0.0009199632014719411,0.41030358785648574
PYR,672,0.781,0.001488095238095238,0.0,0.020833333333333332,0.01636904761904762,0.7395833333333334,0.0,0.002976190476190476,0.16964285714285715,0.049107142857142856
SIM,1515,0.199,0.0,0.0,0.0,0.052805280528052806,0.006600660066006601,0.11947194719471947,0.019801980198019802,0.031683168316831684,0.7696369636963697
UVU,781,0.939,0.002560819462227913,0.0,0.008962868117797696,0.008962868117797696,0.8950064020486556,0.002560819462227913,0.020486555697823303,0.03841229193341869,0.023047375160051217
