gen,lokalizacja,w_jadrze,otoczka,tylko_jadro,tez_poza,dopasowanie,uniprot_gen,n_komorek_wykryty,pct_komorek,srednia_cp10k_all,mean_Aldoc_plus,mean_Aldoc_minus,log2FC_plus_vs_minus,marker_dla,marker_logFC,marker_padj,marker_score,mean_Aldoc_1,mean_Aldoc_2,mean_Aldoc_3,mean_Aldoc_4,mean_Aldoc_5,mean_Aldoc_6,mean_Aldoc_7,mean_Anti_Aldoc_1,mean_Anti_Aldoc_2,pct_Aldoc_1,pct_Aldoc_2,pct_Aldoc_3,pct_Aldoc_4,pct_Aldoc_5,pct_Aldoc_6,pct_Aldoc_7,pct_Anti_Aldoc_1,pct_Anti_Aldoc_2,loc_txt,loc_pelny,topologia
Lypla1,otoczka,True,True,False,True,nazwa,Lypla1,259,1.56,0.005,0.005,0.005,0.0,,,,,0.003,0.006,0.007,0.005,0.004,0.005,0.007,0.004,0.006,0.8,2.67,1.85,1.5,1.34,1.59,1.29,1.06,1.81,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75608}. Cell membrane {ECO:0000250|UniProtKB:O75608}. Nucleus membrane {ECO:0000250|UniProtKB:O75608}. Endoplasmic reticulum {ECO:0000250|UniProtKB:O75608}. Note=Shows predominantly a cytoplasmic localization with a weak expression in the cell membrane, nuclear membrane and endoplasmic reticulum. {ECO:0000250|UniProtKB:O75608}.","SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:O75608}. Cell membrane {ECO:0000250|UniProtKB:O75608}. Nucleus membrane {ECO:0000250|UniProtKB:O75608}. Endoplasmic reticulum {ECO:0000250|UniProtKB:O75608}. Note=Shows predominantly a cytoplasmic localization with a weak expression in the cell membrane, nuclear membrane and endoplasmic reticulum. {ECO:0000250|UniProtKB:O75608}.",NIEOKRESLONY
Dst,otoczka,True,True,False,True,nazwa,Dst,16359,98.35,2.899,2.888,3.186,-0.141,,,,,2.634,3.53,2.675,2.622,2.887,2.861,3.008,3.349,3.024,96.62,98.67,98.57,97.95,97.81,98.28,97.24,98.65,98.89,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, stress fiber. Cell projection, axon {ECO:0000269|PubMed:17287360}. Note=Associates with axonal microtubules at the growing distal tip and intermediate filaments, but not with actin cytoskeleton, in sensory neurons (By similarity). Associates with intermediate filaments, actin and microtubule cytoskeletons. Localizes to actin s","SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, stress fiber. Cell projection, axon {ECO:0000269|PubMed:17287360}. Note=Associates with axonal microtubules at the growing distal tip and intermediate filaments, but not with actin cytoskeleton, in sensory neurons (By similarity). Associates with intermediate filaments, actin and microtubule cytoskeletons. Localizes to actin stress fibers and to actin-rich ruffling at the cortex of cells. {ECO:0000250, ECO:0000269|PubMed:14576348}.; SUBCELLULAR LOCATION: [Isoform 1]: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:19932097}. Note=Colocalizes both cortical and cytoplasmic actin filaments (PubMed:19932097). Localizes to vesicule-like structures associated with microtubules (PubMed:14581450, PubMed:17287360). {ECO:0000269|PubMed:14581450, ECO:0000269|PubMed:17287360, ECO:0000269|PubMed:19932097}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane, sarcolemma. Cytoplasm, myofibril, sarcomere, Z line. Cytoplasm, myofibril, sarcomere, H zone. Cytoplasm, cytoskeleton. Note=Localizes to microtubules and actin microfilaments throughout the cytoplasm and at focal contact attachments at the plasma membrane.; SUBCELLULAR LOCATION: [Isoform 5]: Cytoplasm, cytoskeleton. Cell junction, hemidesmosome. Note=Colocalizes with the epidermal KRT5-KRT14 intermediate filaments network of keratins. Colocalizes with ITGB4 at the leading edge of migrating keratinocytes (By similarity). Localizes to actin and intermediate filaments cytoskeletons. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 6]: Nucleus. Nucleus envelope. Membrane; Single-pass membrane protein. Endoplasmic reticulum membrane; Single-pass membrane protein. Cytoplasm, cytoskeleton. Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:14576348}. Note=Associates with actin cytoskeleton in sensory neurons (By similarity). Localizes to actin and intermediate filaments cytoskeletons. Localizes to central actin stress fibers around the nucleus and is excluded form focal contact sites in myoblast cells. Translocates to the nucleus. {ECO:0000250}.; SUBCELLULAR LOCATION: [Isoform 7]: Cytoplasm, cytoskeleton. Cytoplasm, cell cortex. Cell membrane; Lipid-anchor.",NIEOKRESLONY
Unc50,otoczka,True,True,False,True,nazwa,Unc50,5836,35.08,0.178,0.193,0.164,0.222,,,,,0.166,0.261,0.186,0.169,0.198,0.181,0.188,0.157,0.171,28.94,46.67,38.33,36.18,35.88,37.79,30.15,26.85,35.83,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:O55227}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O55227}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q53HI1}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q53HI1}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:O55227}; Multi-pass membrane protein {ECO:0000250|UniProtKB:O55227}. Golgi apparatus membrane {ECO:0000250|UniProtKB:Q53HI1}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q53HI1}.,INM_niedostepny
Tmem194b,otoczka,True,True,True,False,synonim,Nemp2,4057,24.39,0.114,0.126,0.107,0.217,,,,,0.154,0.141,0.109,0.121,0.113,0.123,0.121,0.102,0.112,27.33,32.0,24.88,26.97,23.32,26.96,20.4,17.82,25.68,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q6ZQE4}; Multi-pass membrane protein {ECO:0000255}; Nucleoplasmic side {ECO:0000250|UniProtKB:B9X187}.,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q6ZQE4}; Multi-pass membrane protein {ECO:0000255}; Nucleoplasmic side {ECO:0000250|UniProtKB:B9X187}.,INM_niedostepny
Sumo1,otoczka,True,True,False,True,nazwa,Sumo1,13439,80.79,0.825,0.805,0.902,-0.162,,,,,0.725,0.959,0.702,0.797,0.856,0.8,0.794,0.872,0.932,71.86,92.0,79.17,82.85,79.4,81.2,73.9,76.73,85.98,"SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:P63165}. Nucleus speckle {ECO:0000269|PubMed:18681895}. Cytoplasm {ECO:0000250|UniProtKB:P63165}. Nucleus, PML body {ECO:0000250|UniProtKB:P63165}. Cell membrane {ECO:0000250|UniProtKB:P63165}. Nucleus {ECO:0000250|UniProtKB:P63165}. Note=Recruited by BCL11A into the nuclear body (PubMed:18681895). In the presence of ZFHX3, sequesterd t","SUBCELLULAR LOCATION: Nucleus membrane {ECO:0000250|UniProtKB:P63165}. Nucleus speckle {ECO:0000269|PubMed:18681895}. Cytoplasm {ECO:0000250|UniProtKB:P63165}. Nucleus, PML body {ECO:0000250|UniProtKB:P63165}. Cell membrane {ECO:0000250|UniProtKB:P63165}. Nucleus {ECO:0000250|UniProtKB:P63165}. Note=Recruited by BCL11A into the nuclear body (PubMed:18681895). In the presence of ZFHX3, sequesterd to nuclear body (NB)-like dots in the nucleus some of which overlap or closely associate with PML body (By similarity). {ECO:0000250|UniProtKB:P63165, ECO:0000269|PubMed:18681895}.",NIEOKRESLONY
Des,otoczka,True,True,False,True,nazwa,Des,12,0.07,0.0,0.001,0.0,0.138,,,,,0.004,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.48,0.0,0.06,0.17,0.04,0.06,0.0,0.0,0.05,"SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:26343497, ECO:0000269|PubMed:26787680, ECO:0000269|PubMed:28469177}. Cytoplasm {ECO:0000269|PubMed:25394388, ECO:0000269|PubMed:25733715, ECO:0000269|PubMed:26787680}. Cell membrane, sarcolemma {ECO:0000269|PubMed:25394388}. Nucleus {ECO:0000269|PubMed:26787680}. Cell tip {ECO:0000269|PubMed:35959657}. Nucleus envelo","SUBCELLULAR LOCATION: Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:26343497, ECO:0000269|PubMed:26787680, ECO:0000269|PubMed:28469177}. Cytoplasm {ECO:0000269|PubMed:25394388, ECO:0000269|PubMed:25733715, ECO:0000269|PubMed:26787680}. Cell membrane, sarcolemma {ECO:0000269|PubMed:25394388}. Nucleus {ECO:0000269|PubMed:26787680}. Cell tip {ECO:0000269|PubMed:35959657}. Nucleus envelope {ECO:0000269|PubMed:35959657}. Note=Localizes in the intercalated disks which occur at the Z line of cardiomyocytes (By similarity). Localizes in the nucleus exclusively in differentiating cardiac progenitor cells and premature cardiomyocytes (PubMed:26787680). PKP2 is required for correct anchoring of DES at the cell tip and nuclear envelope (PubMed:35959657). {ECO:0000250|UniProtKB:P17661, ECO:0000269|PubMed:26787680, ECO:0000269|PubMed:35959657}.",NIEOKRESLONY
Bok,otoczka,True,True,False,True,nazwa,Bok,1127,6.78,0.029,0.03,0.026,0.152,,,,,0.05,0.016,0.03,0.034,0.028,0.032,0.018,0.024,0.027,9.16,5.33,7.72,8.66,6.03,7.97,4.04,4.15,6.43,"SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:23429263, ECO:0000269|PubMed:26949185}; Single-pass membrane protein {ECO:0000269|PubMed:26949185}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:23429263, ECO:0000269|PubMed:26949185}; Single-pass membrane protein {ECO:0000269|PubMed:26949185}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9UMX3}. Cytoplasm {ECO:0000250|","SUBCELLULAR LOCATION: Mitochondrion membrane {ECO:0000269|PubMed:23429263, ECO:0000269|PubMed:26949185}; Single-pass membrane protein {ECO:0000269|PubMed:26949185}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:23429263, ECO:0000269|PubMed:26949185}; Single-pass membrane protein {ECO:0000269|PubMed:26949185}. Mitochondrion inner membrane {ECO:0000250|UniProtKB:Q9UMX3}. Cytoplasm {ECO:0000250|UniProtKB:Q9UMX3}. Nucleus {ECO:0000250|UniProtKB:Q9UMX3}. Mitochondrion {ECO:0000250|UniProtKB:Q9UMX3}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9UMX3}. Mitochondrion outer membrane {ECO:0000250|UniProtKB:Q9UMX3}. Early endosome membrane {ECO:0000269|PubMed:23429263}. Recycling endosome membrane {ECO:0000269|PubMed:23429263}. Nucleus outer membrane {ECO:0000269|PubMed:23429263}. Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:23429263}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:23429263}. Membrane {ECO:0000250|UniProtKB:Q9UMX3}. Note=Nuclear and cytoplasmic compartments in the early stages of apoptosis and during apoptosis associates with mitochondria. In healthy cells, associates loosely with the membrane in a hit-and-run mode. The insertion and accumulation on membranes is enhanced through the activity of death signals, resulting in the integration of the membrane-bound protein into the membrane (By similarity). The transmembrane domain controls subcellular localization; constitutes a tail-anchor (PubMed:23429263, PubMed:26949185). Localizes in early and late endosome upon blocking of apoptosis (PubMed:23429263). Must localize to the mitochondria to induce mitochondrial outer membrane permeabilization and apoptosis (PubMed:26949185). {ECO:0000250|UniProtKB:Q9UMX3, ECO:0000269|PubMed:23429263, ECO:0000269|PubMed:26949185}.",ONM_dostepny
Bcl2,otoczka,True,True,False,True,nazwa,Bcl2,7802,46.9,0.306,0.286,0.258,0.143,,,,,0.366,0.088,0.375,0.332,0.26,0.382,0.202,0.246,0.27,45.18,24.0,57.28,51.5,41.15,56.02,30.33,34.86,44.46,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:29020630}.,SUBCELLULAR LOCATION: Mitochondrion outer membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Nucleus membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P10415}; Single-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000269|PubMed:29020630}.,NIEOKRESLONY
Ubxn4,otoczka,True,True,False,True,nazwa,Ubxn4,13252,79.67,0.788,0.794,0.745,0.091,,,,,0.817,0.741,0.768,0.839,0.804,0.874,0.718,0.699,0.792,77.01,88.0,82.3,83.68,77.44,83.62,67.65,70.26,81.89,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q92575}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q92575}. Nucleus envelope {ECO:0000250|UniProtKB:Q92575}. Note=Both the N- and the C-terminus face the cytosol. Also found in the nucleus envelope contiguous to the ER. {ECO:0000250|UniProtKB:Q92575}.,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q92575}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q92575}. Nucleus envelope {ECO:0000250|UniProtKB:Q92575}. Note=Both the N- and the C-terminus face the cytosol. Also found in the nucleus envelope contiguous to the ER. {ECO:0000250|UniProtKB:Q92575}.,NIEOKRESLONY
Pla2g4a,otoczka,True,True,False,True,nazwa,Pla2g4a,534,3.21,0.012,0.012,0.011,0.067,,,,,0.014,0.013,0.014,0.013,0.008,0.015,0.006,0.007,0.015,2.73,5.33,3.94,3.61,2.19,3.82,1.47,1.5,3.84,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P47712}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P47712}. Nucleus envelope {ECO:0000250|UniProtKB:P47712}. Note=Translocates to intracellular membranes in a calcium-dependent way. {ECO:0000250|UniProtKB:P47712}.,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:P47712}. Golgi apparatus membrane {ECO:0000250|UniProtKB:P47712}. Nucleus envelope {ECO:0000250|UniProtKB:P47712}. Note=Translocates to intracellular membranes in a calcium-dependent way. {ECO:0000250|UniProtKB:P47712}.,NIEOKRESLONY
