typ,n_komorek,Nup214_cp10k,Nup214_pct,Cux2_cp10k,Cux2_pct,Nr2f2_cp10k,Nr2f2_pct,Ranbp2_cp10k,Ranbp2_pct,Nup93_cp10k,Nup93_pct,Ebf2_cp10k,Ebf2_pct,Prkca_cp10k,Prkca_pct,Zfpm2_cp10k,Zfpm2_pct,Zbtb20_cp10k,Zbtb20_pct,Lmnb1_cp10k,Lmnb1_pct
Granule,477176,0.69,16.2,0.895,19.0,0.053,1.3,1.027,23.4,0.256,6.3,0.022,0.6,0.756,14.5,10.167,84.6,14.436,86.2,0.32,7.7
MLI1,32716,0.582,23.2,2.531,64.2,0.015,0.7,1.034,37.7,0.268,11.6,0.017,0.8,5.607,81.1,12.197,97.0,10.905,92.8,0.438,17.8
Bergmann,17498,0.479,16.8,0.302,10.1,0.027,1.1,0.75,25.2,0.771,25.1,0.088,3.1,6.344,81.2,6.524,83.8,25.499,99.7,0.07,2.5
Astrocyte,16717,0.535,17.3,0.605,17.4,0.039,1.4,0.748,23.3,0.938,26.8,0.036,1.2,12.344,94.0,3.181,59.5,36.377,99.9,0.148,4.8
Purkinje,16634,0.459,64.4,1.764,68.7,0.525,61.4,0.933,83.0,2.257,95.5,3.097,70.0,2.848,84.5,1.176,75.2,1.324,84.5,0.144,29.6
ODC,13363,0.851,24.6,0.866,23.4,0.014,0.5,0.842,25.0,0.26,8.4,0.021,0.7,4.311,65.2,0.57,12.6,12.948,95.0,0.075,2.4
MLI2,10608,0.543,23.8,3.024,73.0,0.018,1.0,0.97,38.4,0.294,13.4,0.015,0.8,8.235,93.6,27.273,99.7,20.509,99.4,0.391,17.3
Endothelial_stalk,6142,0.54,15.6,0.063,1.5,0.659,14.6,0.952,26.0,0.23,7.3,0.029,0.9,0.157,4.2,0.116,3.1,23.508,98.4,0.126,4.0
Fibroblast,5333,0.757,20.1,0.207,5.7,7.484,79.3,1.105,28.2,0.222,6.8,2.552,36.4,4.951,59.6,0.798,16.0,39.731,99.6,0.205,5.5
Golgi,3989,0.529,46.1,1.126,65.6,0.027,3.0,0.979,66.2,0.983,64.6,0.053,3.3,0.892,57.5,6.35,94.5,2.486,87.0,0.295,27.5
PLI,2443,0.595,30.0,2.78,75.8,0.031,1.9,1.079,47.4,0.47,24.6,0.019,1.2,4.636,79.7,16.931,99.2,6.913,91.0,0.412,20.8
Endothelial_mural,2271,0.671,13.6,0.215,4.4,8.225,74.6,1.16,23.2,0.306,6.1,0.082,1.4,1.94,28.0,0.207,4.0,29.606,98.5,0.125,2.9
OPC,2121,0.54,23.0,1.993,54.3,0.112,4.5,0.646,27.5,0.323,13.4,0.024,1.4,7.231,85.1,5.035,78.3,19.103,98.5,0.412,15.3
UBC,1613,0.616,25.0,2.141,58.1,0.044,2.2,1.01,36.0,0.564,22.6,0.008,0.4,0.22,8.7,0.673,21.9,8.271,92.2,0.49,20.3
Microglia,1296,0.82,15.2,0.213,3.8,0.063,0.7,1.049,17.4,0.259,4.6,0.042,0.6,5.562,56.7,0.109,1.5,8.409,71.3,0.132,2.3
Choroid,591,0.459,26.6,2.781,70.2,1.856,61.8,1.424,56.3,0.307,16.6,0.016,1.0,2.007,62.4,0.098,5.8,25.019,99.3,0.69,31.0
Macrophage,280,0.846,16.4,0.04,1.1,0.124,2.9,1.161,23.6,0.187,4.6,0.012,0.4,4.897,48.2,0.036,0.7,8.484,72.9,0.083,1.8
Ependymal,243,0.452,15.6,0.652,20.6,0.731,23.0,0.827,25.5,0.252,11.5,0.103,4.1,2.079,42.4,5.227,73.3,31.515,98.8,0.299,10.7
