typ,n_komorek,Plcb4_cp10k,Plcb4_pct,Calb1_cp10k,Calb1_pct,Syne1_cp10k,Syne1_pct,Nav3_cp10k,Nav3_pct,Aldoc_cp10k,Aldoc_pct,Syne2_cp10k,Syne2_pct,Gnaq_cp10k,Gnaq_pct
Granule,477176,9.988,87.3,0.746,16.4,12.335,91.6,5.324,59.2,1.007,21.1,0.796,16.1,3.362,54.0
MLI1,32716,3.857,77.9,0.529,20.1,3.448,74.4,0.273,11.1,0.923,31.4,0.081,3.7,3.467,75.7
Bergmann,17498,8.93,93.0,1.021,29.7,8.52,92.0,12.549,92.3,4.831,73.1,0.088,3.3,4.417,77.0
Astrocyte,16717,5.858,82.3,0.862,24.3,7.101,86.5,7.318,77.7,6.042,77.8,0.085,3.1,3.641,68.1
Purkinje,16634,6.371,94.8,11.627,99.8,2.312,97.1,2.504,82.7,4.227,76.1,1.197,89.1,4.604,99.1
ODC,13363,0.641,17.5,0.677,17.5,0.32,9.6,2.525,31.9,0.978,24.2,0.142,4.3,3.156,61.4
MLI2,10608,4.721,84.9,0.444,18.9,4.522,84.4,0.278,12.3,1.027,36.1,0.081,4.2,2.994,73.8
Endothelial_stalk,6142,8.353,82.9,1.009,23.4,4.526,65.4,0.175,5.0,2.082,37.8,1.775,39.5,4.136,64.2
Fibroblast,5333,1.234,27.2,0.975,23.2,0.2,5.6,0.255,6.9,1.438,30.2,2.396,45.9,2.165,43.9
Golgi,3989,1.792,80.0,0.318,25.7,2.053,84.6,2.39,78.6,0.575,42.3,0.059,6.9,2.939,92.6
PLI,2443,4.613,83.9,0.973,30.2,3.659,82.9,2.792,41.1,1.979,50.5,0.101,6.1,3.161,79.0
Endothelial_mural,2271,3.558,47.1,1.458,23.9,2.405,37.8,0.203,4.5,2.419,31.9,1.866,32.3,2.069,32.7
OPC,2121,1.875,48.8,0.528,19.2,1.712,50.2,26.423,88.4,1.226,36.8,0.776,27.0,2.853,68.6
UBC,1613,12.027,94.6,0.313,12.4,6.242,89.8,17.608,98.6,0.725,26.5,0.185,7.9,2.533,63.4
Microglia,1296,0.345,5.3,1.064,15.4,0.242,3.4,24.626,90.2,1.361,21.1,0.076,1.6,8.378,76.9
Choroid,591,2.038,64.3,0.18,12.2,1.589,59.1,4.749,67.5,0.583,29.3,3.374,83.9,1.302,51.3
Macrophage,280,0.53,8.9,0.884,15.0,0.111,1.8,0.361,5.4,1.434,22.5,0.971,17.9,12.817,85.0
Ependymal,243,5.962,79.0,1.604,39.1,23.147,96.7,4.028,63.4,2.212,44.9,0.942,24.7,3.232,65.0
