Gene Names (primary)	Gene Names (synonym)	Subcellular location [CC]
Auts2	Kiaa0442	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:19948250, ECO:0000269|PubMed:25519132, ECO:0000269|PubMed:25533347}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:25533347}. Cell projection, growth cone {ECO:0000269|PubMed:25533347}. Note=Detected both in cytoplasm and nucleus (PubMed:25533347). Colocalizes with RAC1 at actin-rich growth cones (PubMed:25533347). Detected on the promoter region of actively transcribed genes (PubMed:25519132). {ECO:0000269|PubMed:25519132, ECO:0000269|PubMed:25533347}.
Iqcj-Schip1	Iqschfp Schip1	SUBCELLULAR LOCATION: Cell projection, axon {ECO:0000269|PubMed:18550753}. Cytoplasm {ECO:0000250|UniProtKB:B3KU38}. Note=Localizes to the axon initial segments (AIS) and nodes of Ranvier of neurons and is absent from dendrites. {ECO:0000269|PubMed:18550753}.
Arrdc4		SUBCELLULAR LOCATION: Early endosome {ECO:0000269|PubMed:19605364}. Cell membrane {ECO:0000269|PubMed:19605364, ECO:0000269|PubMed:27462458}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasmic vesicle {ECO:0000269|PubMed:19605364}. Note=Also found in extracellular vesicles different from exosomes. {ECO:0000269|PubMed:27462458}.
Fcgr4	Fcgr3a	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:16039578, ECO:0000269|PubMed:17558411, ECO:0000269|PubMed:28389502}; Single-pass type I membrane protein {ECO:0000255}.
Gpr15lg	Gpr15l	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:Q6UWK7}.
Gbp6	Mpa2l	SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000269|PubMed:18025219}.
Gucy2d		SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:9096404}; Single-pass type I membrane protein.
Ankrd31		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31000436}. Chromosome {ECO:0000269|PubMed:31000436, ECO:0000269|PubMed:31003867}. Note=Localizes on chromatin between preleptotene and early pachytene (PubMed:31000436). Associates with the chromosome axes, but disappears from axes upon synaptonemal complex formation (PubMed:31000436). {ECO:0000269|PubMed:31000436}.
Irgm2	Iigp2	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000269|PubMed:34078740}. Golgi apparatus membrane {ECO:0000269|PubMed:34078740}. Cytoplasm, cytosol {ECO:0000269|PubMed:34078740}. Note=Localizes to parasitophorous vacuole membranes. {ECO:0000269|PubMed:34078740}.
Tunar		SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:35036403}; Single-pass membrane protein {ECO:0000255}. Extracellular vesicle membrane {ECO:0000269|PubMed:35036403}; Single-pass membrane protein {ECO:0000255}.
Cylc1		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, perinuclear theca, calyx {ECO:0000269|PubMed:38013430, ECO:0000269|PubMed:38573307}. Cytoplasm, cytoskeleton, perinuclear theca {ECO:0000269|PubMed:38013430, ECO:0000269|PubMed:38573307}. Note=Localizes to the subacrosomal layer of the perinuclear theca in round and elongating spermatids. Localizes to the calyx, also known as post-acrosomal region, in spermatozoa. {ECO:0000269|PubMed:38013430, ECO:0000269|PubMed:38573307}.
Gcna		SUBCELLULAR LOCATION: Chromosome {ECO:0000269|PubMed:31839538}. Nucleus, PML body {ECO:0000269|PubMed:31839538}. Nucleus {ECO:0000269|PubMed:27718356}. Note=Co-localizes with SUMO2 at PML bodies in all interphase cells (By similarity). Localizes on condensed chromosomes in spermatocytes in G2 and M during meiotic prophase (PubMed:31839538). {ECO:0000250|UniProtKB:Q96QF7, ECO:0000269|PubMed:31839538}.
Nova2		SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:30638744}.
Septin12	Sept12	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q8IYM1}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q8IYM1}. Nucleus {ECO:0000250|UniProtKB:Q8IYM1}. Cell projection, cilium, flagellum {ECO:0000269|PubMed:25588830, ECO:0000269|PubMed:28346465, ECO:0000269|PubMed:38870534}. Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:30189608, ECO:0000269|PubMed:35547809}. Note=At interphase, forms a filamentous structure in the cytoplasm. During anaphase, translocates to the central spindle region and to the midbody during cytokinesis. Colocalized with SPAG4 at the nuclear periphery in round spermatids (By similarity). During sperm head formation in elongating spermatids, expressed at the acrosome, perinuclear mantle of the manchette structure and the sperm neck (PubMed:30189608, PubMed:35547809). Expressed at mitochondrial materials in elongating spermatids (PubMed:30189608). Expressed in mature sperm at the annulus, neck and tail (PubMed:25588830, PubMed:28346465, PubMed:38870534). Expressed at the midpiece in ejaculated mature sperm (PubMed:30189608). {ECO:0000250|UniProtKB:Q8IYM1, ECO:0000269|PubMed:25588830, ECO:0000269|PubMed:28346465, ECO:0000269|PubMed:30189608, ECO:0000269|PubMed:35547809, ECO:0000269|PubMed:38870534}.
Slc4a9	AE4	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000269|PubMed:12225984, ECO:0000269|PubMed:23610411, ECO:0000305|PubMed:34585968}; Multi-pass membrane protein {ECO:0000255}. Note=Localized in the basolateral membrane of the cortical collecting duct (CCD)and submandibular gland (SMG) duct. {ECO:0000269|PubMed:12225984, ECO:0000269|PubMed:23610411}.
Cylc2		SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, perinuclear theca, calyx {ECO:0000269|PubMed:38013430}. Cytoplasm, cytoskeleton, perinuclear theca {ECO:0000269|PubMed:38013430}. Note=Localizes to the subacrosomal layer of the perinuclear theca in round and elongating spermatids. Localizes to the calyx, also known as post-acrosomal region, in spermatozoa. {ECO:0000269|PubMed:38013430}.
Catspert	Als2cr11 C2cd6	SUBCELLULAR LOCATION: Cell projection, cilium, flagellum membrane {ECO:0000269|PubMed:34998468}. Note=Specifically located in the principal piece of the sperm tail. {ECO:0000269|PubMed:34998468}.
Meiosin	Bhmg1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:32032549}.
Afg2b	Spata5l1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9BVQ7}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q9BVQ7}. Nucleus {ECO:0000250|UniProtKB:D4A2B7}.
